,Date,Open,High,Low,Close,Volume,Adj_Close
2022-12-29 09:39:00,1672317540000,16594.7,16594.8,16593.1,16593.1,42.321,16593.10
2022-12-29 09:40:00,1672317600000,16593.1,16596.4,16593.1,16596.4,53.621,16596.40
2022-12-29 09:41:00,1672317660000,16596.4,16597.5,16596.3,16597.5,32.85,16597.50
2022-12-29 09:42:00,1672317720000,16597.4,16600.0,16597.4,16599.9,72.026,16599.90
2022-12-29 09:43:00,1672317780000,16600.0,16600.0,16598.0,16598.0,83.582,16598.00
2022-12-29 09:44:00,1672317840000,16598.0,16599.4,16598.0,16599.4,29.302,16599.40
2022-12-29 09:45:00,1672317900000,16599.4,16599.4,16599.3,16599.4,37.684,16599.40
2022-12-29 09:46:00,1672317960000,16599.4,16599.9,16599.3,16599.9,40.053,16599.90
2022-12-29 09:47:00,1672318020000,16599.8,16600.2,16599.8,16600.1,49.944,16600.10
2022-12-29 09:48:00,1672318080000,16600.1,16600.7,16600.1,16600.7,50.948,16600.70
2022-12-29 09:49:00,1672318140000,16600.7,16606.0,16600.6,16605.9,143.74,16605.90
2022-12-29 09:50:00,1672318200000,16606.0,16608.5,16605.9,16606.1,165.355,16606.10
2022-12-29 09:51:00,1672318260000,16606.0,16606.1,16597.7,16597.7,169.197,16597.70
2022-12-29 09:52:00,1672318320000,16597.8,16600.5,16597.7,16600.5,64.604,16600.50
2022-12-29 09:53:00,1672318380000,16600.5,16603.3,16600.4,16603.3,75.106,16603.30
2022-12-29 09:54:00,1672318440000,16603.3,16603.3,16600.2,16600.3,73.639,16600.30
2022-12-29 09:55:00,1672318500000,16600.3,16600.3,16600.2,16600.2,36.278,16600.20
2022-12-29 09:56:00,1672318560000,16600.2,16600.3,16600.2,16600.3,37.401,16600.30
2022-12-29 09:57:00,1672318620000,16600.3,16608.8,16600.2,16608.8,124.592,16608.80
2022-12-29 09:58:00,1672318680000,16608.8,16615.9,16608.7,16615.9,271.219,16615.90
2022-12-29 09:59:00,1672318740000,16615.9,16619.2,16610.1,16612.5,367.663,16612.50
2022-12-29 10:00:00,1672318800000,16612.5,16615.2,16610.1,16613.2,322.859,16613.20
2022-12-29 10:01:00,1672318860000,16613.3,16613.3,16605.8,16605.8,169.057,16605.80
2022-12-29 10:02:00,1672318920000,16605.9,16605.9,16604.2,16604.2,93.295,16604.20
2022-12-29 10:03:00,1672318980000,16604.2,16607.7,16604.2,16607.6,64.946,16607.60
2022-12-29 10:04:00,1672319040000,16607.7,16607.7,16606.6,16606.6,47.942,16606.60
2022-12-29 10:05:00,1672319100000,16606.6,16606.7,16606.6,16606.7,41.366,16606.70
2022-12-29 10:06:00,1672319160000,16606.7,16606.7,16603.4,16603.4,81.17,16603.40
2022-12-29 10:07:00,1672319220000,16603.4,16605.9,16603.0,16605.9,75.808,16605.90
2022-12-29 10:08:00,1672319280000,16605.9,16615.8,16605.8,16612.4,225.422,16612.40
2022-12-29 10:09:00,1672319340000,16612.4,16613.9,16609.9,16612.3,103.045,16612.30
2022-12-29 10:10:00,1672319400000,16612.3,16615.5,16612.2,16615.4,163.68,16615.40
2022-12-29 10:11:00,1672319460000,16615.5,16618.3,16608.2,16609.4,303.495,16609.40
2022-12-29 10:12:00,1672319520000,16609.5,16609.6,16609.4,16609.5,91.758,16609.50
2022-12-29 10:13:00,1672319580000,16609.5,16612.8,16609.5,16611.6,101.155,16611.60
2022-12-29 10:14:00,1672319640000,16611.7,16613.8,16611.1,16613.8,87.163,16613.80
2022-12-29 10:15:00,1672319700000,16613.8,16615.0,16613.7,16614.9,88.872,16614.90
2022-12-29 10:16:00,1672319760000,16614.9,16619.4,16611.9,16612.1,247.345,16612.10
2022-12-29 10:17:00,1672319820000,16612.0,16612.1,16612.0,16612.1,41.298,16612.10
2022-12-29 10:18:00,1672319880000,16612.1,16612.1,16609.8,16609.8,84.004,16609.80
2022-12-29 10:19:00,1672319940000,16609.8,16609.9,16609.7,16609.7,40.413,16609.70
2022-12-29 10:20:00,1672320000000,16609.7,16609.8,16600.6,16602.9,271.987,16602.90
